foodName_id,foodName_en,category,mealType,calories,protein,carbs,fat
Telur Orak-arik (2 besar),Scrambled Eggs (2 large),Protein/Dairy,Breakfast,180,12.0,2.0,14.0
Roti Bakar Gandum Utuh (1 potong),Whole Wheat Toast (1 slice),Grain,Breakfast,80,4.0,14.0,1.0
Kopi (hitam),Coffee (black),Beverage,Breakfast,5,0.3,0.0,0.1
Pisang,Banana,Fruit,Breakfast,105,1.3,27.0,0.4
Salad Ayam Panggang,Grilled Chicken Salad,Meal/Protein,Lunch,350,30.0,10.0,20.0
Apel,Apple,Fruit,Snack,95,0.5,25.0,0.3
Salmon (4oz panggang),Salmon (4oz grilled),Protein/Fish,Dinner,230,25.0,0.0,14.0
Quinoa (1 cangkir dimasak),Quinoa (1 cup cooked),Grain,Dinner,222,8.0,39.0,3.6
Brokoli Kukus (1 cangkir),Steamed Broccoli (1 cup),Vegetable,Dinner,55,3.7,11.2,0.6
Yogurt Yunani (biasa 1 cangkir),Greek Yogurt (plain 1 cup),Dairy,Snack,150,25.0,8.0,3.0
Oatmeal (1 cangkir dimasak),Oatmeal (1 cup cooked),Grain,Breakfast,160,6.0,28.0,3.0
Blueberry (1/2 cangkir),Blueberries (1/2 cup),Fruit,Breakfast,42,0.5,11.0,0.2
Almond (1 ons),Almonds (1 oz),Nut,Snack,164,6.0,6.0,14.0
Sandwich Kalkun (dengan gandum),Turkey Sandwich (on wheat),Meal/Processed,Lunch,340,22.0,34.0,12.0
Tongkat Wortel (1 cangkir),Carrot Sticks (1 cup),Vegetable,Snack,52,1.2,12.3,0.3
Spageti Bolognese,Spaghetti Bolognese,Meal/Pasta,Dinner,460,20.0,55.0,18.0
Salad Samping (saus ringan),Side Salad (light dressing),Vegetable,Dinner,70,2.0,8.0,4.0
Protein Kocok (Whey),Protein Shake (Whey),Supplement,Snack,120,24.0,3.0,1.0
Sereal (Frosted Flakes 1 cangkir),Cereal (Frosted Flakes 1 cup),Grain/Processed,Breakfast,130,2.0,31.0,0.0
Sup Lentil (1 kaleng),Lentil Soup (1 can),Meal/Legume,Lunch,230,15.0,35.0,3.0
Nasi Putih (1 gelas matang),White Rice (1 cup cooked),Grain,Dinner,204,4.2,44.5,0.4
Tumis Tahu,Tofu Stir-fry,Meal/Vegetarian,Dinner,400,18.0,30.0,22.0
Oranye,Orange,Fruit,Snack,62,1.2,15.4,0.2
Bagel (biasa),Bagel (plain),Grain,Breakfast,270,11.0,55.0,1.5
Krim Keju (2 sdm),Cream Cheese (2 tbsp),Dairy,Breakfast,100,2.0,2.0,10.0
